id,product_id,product_name,manufacturer,product_category,voc_content_g_per_L,effective_voc_diluted_g_per_L,dilution_ratio,coverage_sqft_per_L,price_per_litre_cad,certifications,healthcare_approved,recommended_facility_types,compliant_jurisdiction_count,total_jurisdictions_checked,compliant_jurisdictions,non_compliant_jurisdictions,din_npn,sds_available,voc_classification,ipac_compatible,green_seal_eligible
3410,PROD-63AD280E,Buckeye International LowMoist CarpetCare 700,Buckeye International,Carpet Cleaner (Encapsulation),0.7,0.02,1:32,289,30.31,UL ECOLOGO; UL GREENGUARD Gold,Yes,Diagnostic Imaging Centre; Community Health Centre; Long-Term Care Home; Rehabilitation Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
3411,PROD-A86F912B,Ecolab Inc. GraffitiGone Pro Elite,Ecolab Inc.,Graffiti Remover,32.1,32.1,RTU (Ready-to-Use),13,43.09,None,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Low VOC,No,No
3412,PROD-50454073,Betco Corporation SlipSafe Finish Select,Betco Corporation,Floor Finish / Polish,3.9,3.9,RTU (Ready-to-Use),247,15.05,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Long-Term Care Home; Rehabilitation Centre; Outpatient Surgery Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,Yes
3413,PROD-6F220322,SC Johnson Professional GrillMaster Clean LV,SC Johnson Professional,Oven/Grill Cleaner,5.1,0.57,1:8,55,23.82,UL ECOLOGO; LEED v4 Compliant,Yes,Acute Care Hospital; Emergency Department; Psychiatric Facility,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
3414,PROD-2F7C763F,Essential Industries CarbonBreak Pro EC,Essential Industries,Oven/Grill Cleaner,6.3,0.7,1:8,72,15.71,Green Seal GS-37; EPA Safer Choice,Yes,Outpatient Surgery Centre; Acute Care Hospital; Long-Term Care Home; Dental Clinic; Community Health Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
3415,PROD-D5D13DEC,Chase Products Co. BathPro Tile & Surface LV,Chase Products Co.,Bathroom and Tile Cleaner,3.6,3.6,RTU (Ready-to-Use),178,14.02,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Emergency Department; Diagnostic Imaging Centre; Psychiatric Facility; Dental Clinic; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
3416,PROD-3A28823D,GOJO Industries WoodGuard Polish 200,GOJO Industries,Furniture Maintenance Product,8.2,8.2,RTU (Ready-to-Use),271,17.9,UL ECOLOGO; LEED v4 Compliant,Yes,Emergency Department; Outpatient Surgery Centre; Psychiatric Facility; Dental Clinic; Acute Care Hospital,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Low VOC,Yes,No
3417,PROD-D9AE7C26,Swish Maintenance PathShield RTU Spray 700,Swish Maintenance,Disinfectant (Spray),33.9,33.9,RTU (Ready-to-Use),373,22.03,EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02228181,Yes,Low VOC,No,No
3418,PROD-5E5898D7,Rochester Midland Corporation MechaniClean 700,Rochester Midland Corporation,Heavy-Duty Hand Cleaner,6.8,6.8,RTU (Ready-to-Use),,19.08,Green Seal GS-37; EPA Safer Choice,Yes,Medical Office Building; Psychiatric Facility; Long-Term Care Home; Outpatient Surgery Centre; Dental Clinic; Community Health Centre; Diagnostic Imaging Centre; Emergency Department; Rehabilitation Centre,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,No,Low VOC,Yes,Yes
3419,PROD-5F0CA9AB,Pioneer Eclipse LaundryPro Institutional Max,Pioneer Eclipse,Laundry Detergent (Institutional),5.9,0.01,1:400,,16.51,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Rehabilitation Centre; Medical Office Building; Psychiatric Facility; Outpatient Surgery Centre; Community Health Centre; Diagnostic Imaging Centre; Dental Clinic; Long-Term Care Home; Acute Care Hospital,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
3420,PROD-6956236D,Carroll Company HygieneMax Multi 300,Carroll Company,General Purpose Cleaner,7.3,7.3,RTU (Ready-to-Use),505,3.76,UL ECOLOGO,Yes,Medical Office Building; Dental Clinic; Emergency Department; Long-Term Care Home; Rehabilitation Centre; Acute Care Hospital; Community Health Centre; Outpatient Surgery Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
3421,PROD-1F26AFB0,Betco Corporation ThermalWash Pro Ultra,Betco Corporation,Laundry Detergent (Institutional),1.6,0.02,1:100,,4.05,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Long-Term Care Home; Outpatient Surgery Centre; Acute Care Hospital; Community Health Centre; Dental Clinic; Emergency Department; Rehabilitation Centre; Psychiatric Facility,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
3422,PROD-01804788,Multi-Clean Inc. DeskClean Daily 300,Multi-Clean Inc.,Furniture Maintenance Product,21.7,21.7,RTU (Ready-to-Use),254,9.24,None,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
3423,PROD-C46EB04D,Pioneer Eclipse BioSurface Clean Pro,Pioneer Eclipse,General Purpose Cleaner,12.6,0.1,1:128,681,5.51,UL ECOLOGO,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
3424,PROD-0858C02C,Procter & Gamble Professional FabriClean HC GS,Procter & Gamble Professional,Laundry Detergent (Institutional),1.6,0.01,1:200,,17.59,Green Seal GS-37; UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Emergency Department; Community Health Centre; Diagnostic Imaging Centre; Long-Term Care Home; Psychiatric Facility; Rehabilitation Centre; Outpatient Surgery Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
3425,PROD-378595D5,Charlotte Products FingerPrint Guard EC,Charlotte Products,Stainless Steel Cleaner,11.5,11.5,RTU (Ready-to-Use),282,24.7,UL ECOLOGO,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
3426,PROD-9D693C0C,Pioneer Eclipse QuatMax Concentrate Pro,Pioneer Eclipse,Disinfectant (Concentrate),6.6,0.03,1:256,729,36.18,EPA Safer Choice; LEED v4 Compliant,Yes,Community Health Centre; Outpatient Surgery Centre; Diagnostic Imaging Centre; Psychiatric Facility,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02253052,Yes,Low VOC,Yes,No
3427,PROD-4AC35828,GOJO Industries BaseCoat Remover 500,GOJO Industries,Floor Wax Stripper,0.9,0.05,1:16,144,33.99,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Outpatient Surgery Centre; Emergency Department; Diagnostic Imaging Centre; Rehabilitation Centre; Dental Clinic; Psychiatric Facility; Long-Term Care Home; Medical Office Building; Community Health Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,Yes
3428,PROD-406D4534,Multi-Clean Inc. UriClean Daily HD,Multi-Clean Inc.,Toilet/Urinal Care Product,6.0,6.0,RTU (Ready-to-Use),115,9.11,Green Seal GS-37; EPA Safer Choice; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Rehabilitation Centre; Psychiatric Facility; Medical Office Building; Community Health Centre; Acute Care Hospital; Emergency Department; Diagnostic Imaging Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
3429,PROD-6BE772E2,Sani Professional DeepClean Carpet Extract LV,Sani Professional,Carpet Cleaner (Extraction),3.5,0.05,1:64,182,23.69,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Diagnostic Imaging Centre; Psychiatric Facility; Acute Care Hospital; Community Health Centre; Medical Office Building; Rehabilitation Centre; Outpatient Surgery Centre; Emergency Department; Long-Term Care Home,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,No,Ultra-Low VOC,Yes,No
3430,PROD-09B36D13,Avmor Ltd. SoftTouch Institutional GS,Avmor Ltd.,Fabric Softener (Institutional),1.7,0.01,1:200,,3.58,Green Seal GS-37; UL GREENGUARD Gold,Yes,Rehabilitation Centre; Acute Care Hospital; Psychiatric Facility; Community Health Centre; Long-Term Care Home; Diagnostic Imaging Centre; Medical Office Building; Dental Clinic; Emergency Department; Outpatient Surgery Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
3431,PROD-7466B40D,Core Products Co. NoRinse FC-200 GS,Core Products Co.,Sanitizer (Food Contact),12.0,0.05,1:256,366,6.79,UL ECOLOGO,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,DIN 02239093,Yes,Low VOC,Conditional,No
3432,PROD-C57617F7,Clean Control Corporation FabriClean HC 300,Clean Control Corporation,Laundry Detergent (Institutional),7.1,0.07,1:100,,6.25,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Dental Clinic; Medical Office Building; Rehabilitation Centre; Diagnostic Imaging Centre; Long-Term Care Home; Acute Care Hospital; Community Health Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
3433,PROD-6A860A1D,Clorox Professional HygieneMax Multi 300,Clorox Professional,General Purpose Cleaner,8.1,8.1,RTU (Ready-to-Use),222,6.42,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
3434,PROD-BF73C634,Spartan Chemical SaniBowl HC Elite,Spartan Chemical,Toilet/Urinal Care Product,7.1,7.1,RTU (Ready-to-Use),168,5.16,Green Seal GS-37; EPA Safer Choice,Yes,Community Health Centre; Long-Term Care Home; Emergency Department; Acute Care Hospital,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
3435,PROD-36645D16,Ecolab Inc. AdhesiOff Pro LV,Ecolab Inc.,Adhesive Remover,11.4,11.4,RTU (Ready-to-Use),76,25.57,UL ECOLOGO; EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
3436,PROD-8C83A7F7,National Chemical Laboratories OmniClean Daily Select,National Chemical Laboratories,General Purpose Cleaner,5.6,0.02,1:256,311,4.24,EPA Safer Choice,Yes,Medical Office Building; Long-Term Care Home; Acute Care Hospital; Emergency Department; Rehabilitation Centre; Outpatient Surgery Centre; Community Health Centre; Diagnostic Imaging Centre; Dental Clinic,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Yes,No
3437,PROD-5C1B2A61,Betco Corporation SaniTile Daily 200,Betco Corporation,Bathroom and Tile Cleaner,12.6,0.38,1:32,361,6.78,UL ECOLOGO; EPA Safer Choice,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
3438,PROD-A91342E9,National Chemical Laboratories StreakFree Pro Select,National Chemical Laboratories,Glass Cleaner,5.8,5.8,RTU (Ready-to-Use),750,9.0,None,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Yes,No
3439,PROD-96FFE360,Midlab Inc. Facility Pro All-Surface 200,Midlab Inc.,General Purpose Cleaner,9.3,9.3,RTU (Ready-to-Use),569,17.08,LEED v4 Compliant,Yes,Long-Term Care Home; Acute Care Hospital; Medical Office Building; Outpatient Surgery Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
3440,PROD-9DB1F71D,Carroll Company FloorStrip Pro 200,Carroll Company,Floor Wax Stripper,1.2,0.07,1:16,275,29.57,Green Seal GS-37; UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Psychiatric Facility; Emergency Department; Long-Term Care Home; Community Health Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,Yes
3441,PROD-E25EF505,SC Johnson Professional StreakFree Pro Ultra,SC Johnson Professional,Glass Cleaner,5.0,5.0,RTU (Ready-to-Use),513,14.32,UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Diagnostic Imaging Centre; Emergency Department; Rehabilitation Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
3442,PROD-A1B03188,Charlotte Products FreshZone Wick 100,Charlotte Products,Air Freshener (Liquid/Wick),2.9,2.9,RTU (Ready-to-Use),747,8.37,EPA Safer Choice; LEED v4 Compliant,Yes,Acute Care Hospital; Rehabilitation Centre; Long-Term Care Home; Community Health Centre; Diagnostic Imaging Centre; Dental Clinic,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
3443,PROD-28BAC1D7,SC Johnson Professional FabriSoft HC 300,SC Johnson Professional,Fabric Softener (Institutional),2.9,0.01,1:200,,6.86,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Acute Care Hospital; Outpatient Surgery Centre; Rehabilitation Centre; Community Health Centre; Medical Office Building,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
3444,PROD-95041571,Charlotte Products InfectiKill RTU 200,Charlotte Products,Disinfectant (Spray),43.6,43.6,RTU (Ready-to-Use),201,14.22,EPA Safer Choice,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,DIN 02284842,Yes,Low VOC,No,No
3445,PROD-9C4C714C,Multi-Clean Inc. ResidueBreak Ultra,Multi-Clean Inc.,Adhesive Remover,44.3,44.3,RTU (Ready-to-Use),51,28.23,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,No,No
3446,PROD-4F811CCA,Midlab Inc. HygiLaundry Pro,Midlab Inc.,Laundry Detergent (Institutional),3.4,0.03,1:100,,18.73,Green Seal GS-37; LEED v4 Compliant,Yes,Psychiatric Facility; Dental Clinic; Rehabilitation Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,Yes
3447,PROD-00979AF6,Clean Control Corporation TextileClean Pro EC,Clean Control Corporation,Carpet Cleaner (Extraction),3.7,0.06,1:64,210,19.75,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Psychiatric Facility; Community Health Centre; Rehabilitation Centre; Dental Clinic,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
3448,PROD-BB962C9F,Core Products Co. FloorStrip Pro 1000,Core Products Co.,Floor Wax Stripper,1.7,0.19,1:8,181,18.18,UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Dental Clinic; Medical Office Building; Diagnostic Imaging Centre; Acute Care Hospital; Psychiatric Facility; Rehabilitation Centre; Outpatient Surgery Centre; Long-Term Care Home; Community Health Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,No
3449,PROD-F8F507F4,SC Johnson Professional AirPure Spray Elite,SC Johnson Professional,Air Freshener (Spray),10.0,10.0,RTU (Ready-to-Use),1632,12.1,Green Seal GS-37; UL ECOLOGO; LEED v4 Compliant,Yes,Psychiatric Facility; Rehabilitation Centre; Community Health Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Yes,Yes
3450,PROD-7F0154BF,Core Products Co. HygieneMax Multi Plus,Core Products Co.,General Purpose Cleaner,2.6,2.6,RTU (Ready-to-Use),517,14.05,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Emergency Department; Rehabilitation Centre; Dental Clinic; Long-Term Care Home; Medical Office Building; Community Health Centre; Diagnostic Imaging Centre; Psychiatric Facility; Acute Care Hospital,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,No,Ultra-Low VOC,Yes,Yes
3451,PROD-5C5922C1,Enviro-Solutions UrbanClean Graffiti Ultra,Enviro-Solutions,Graffiti Remover,36.3,36.3,RTU (Ready-to-Use),38,20.49,None,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,No,No
3452,PROD-50B829D8,Buckeye International VisionPure Glass 500,Buckeye International,Glass Cleaner,10.4,10.4,RTU (Ready-to-Use),826,12.21,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
3453,PROD-1FF73CB1,Enviro-Solutions UrbanClean Graffiti 500,Enviro-Solutions,Graffiti Remover,43.0,43.0,RTU (Ready-to-Use),11,25.64,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,No,No
3454,PROD-C9D84F9D,Betco Corporation ThermalWash Pro 700,Betco Corporation,Laundry Detergent (Institutional),7.6,0.02,1:400,,10.64,Green Seal GS-37; UL ECOLOGO; LEED v4 Compliant,Yes,Diagnostic Imaging Centre; Dental Clinic; Acute Care Hospital; Long-Term Care Home; Rehabilitation Centre; Psychiatric Facility,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
